Year,bt_anomaly_SNE_Fall,sst_anomaly_SNE_Fall,Heatwave_SNE_Fall,GSI_SNE_Fall,calfin_100m3_SNE_Fall,pseudo_100m3_SNE_Fall,Age.1_SNE_Fall,SSB_SNE_Fall,RSSB_SNE_Fall,lAGE1_SNE_Fall,Cod_Depth_Fall,Cod_Lat_Fall,K_rel
2009,0.333451171,0.316559525,20.2532,0.533397839,-3.714732028,-3.813010318,0,NA,NA,0,-88.14,42.23,NA
2010,-0.248089419,-0.114949255,67.3754,0.358591457,-3.14846393,-4.615589334,0,NA,NA,0,-91.62,42.2,1.048842497
2011,-0.064901971,-0.41811257,194.9488,0.603235352,-3.15791162,-4.583817339,0,NA,NA,0,-97.2,42.23,NA
2012,2.629162259,-0.362088799,594.867,-0.226351831,-3.731092999,-3.717056322,0,NA,NA,0,-105.91,42.24,1.161411974
2013,0.78554696,2.538136661,252.9587,0.800419348,-3.745551209,-6.02248486,0,NA,NA,0,-111.93,42.31,NA
2014,0.916704927,1.218278465,153.5741,0.797656011,-3.649680598,-4.479856639,0,NA,NA,0,-114.69,42.35,1.044277821
2015,0.93260304,-0.003166179,176.4652,1.169831439,-4.058905031,-4.556003847,0,NA,NA,0,-115.24,42.34,NA
2016,1.304998827,-0.133517901,455.7264,1.323979094,-4.638848346,-4.330566824,0,NA,NA,0,-110.04,42.34,0.929217257
2017,0.055071198,1.834150297,287.261,1.623870131,-4.458057985,-4.709788916,NA,NA,NA,NA,-103.31,42.3,NA
2018,-0.106073685,1.243108019,200.6229,1.043406613,-4.002455355,-4.453129684,0,NA,NA,0,-96.57,42.26,NA
2019,0.156480562,-0.122518087,169.5203,1.401638769,-3.364517161,-4.343057871,0,NA,NA,0,-106.67,42.23,NA
2020,1.277982302,0.045426418,166.5375,1.753956701,NA,NA,NA,NA,NA,NA,-104.09,42.16,NA
2021,,,,,,,,,,,-101.5,42.09,0.88169737
2022,,,,,,,,,,,-95.36,42.16,
2023,,,,,,,,,,,-94.8,42.3,
