Dataset: Northeast US Fall,,,,,,
Species Name: American lobster (Homarus americanus),,,,,,
,,,,,,
HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
197411 0 1100 00 1 0,1100,40.733333,-70.633333,58,1974,0
197411 0 1190 00 9 0,1190,41.533333,-67.383333,57,1974,1.8
197411 0 1100 00 2 0,1100,40.05,-69.483333,102,1974,0
197411 0 1200 00 1 0,1200,41.133333,-68.35,44,1974,0
197411 0 1100 00 3 0,1100,40.266667,-69.933333,86,1974,0
197411 0 1200 00 2 0,1200,41.333333,-68.3,44,1974,1.8
197411 0 1100 00 4 0,1100,40.266667,-69.683333,77,1974,1.4
197411 0 1200 00 3 0,1200,41.616667,-68.283333,44,1974,0
197411 0 1100 00 5 0,1100,40.366667,-69.383333,68,1974,0
197411 0 1200 00 4 0,1200,41.7,-68.283333,49,1974,1.4
197411 0 1100 00 6 0,1100,40.683333,-69.033333,71,1974,0.9
197411 0 1200 00 5 0,1200,41.7,-68.033333,31,1974,1.4
197411 0 1200 00 6 0,1200,41.75,-68.133333,40,1974,1.4
197411 0 1100 00 7 0,1100,40.75,-68.95,71,1974,8.2
197411 0 1100 00 8 0,1100,40.566667,-70.333333,58,1974,0.5
197411 0 1210 00 1 0,1210,41.85,-68.1,88,1974,0
197411 0 1110 00 1 0,1110,40.05,-69.783333,132,1974,0
197411 0 1210 00 2 0,1210,42.133333,-66.65,91,1974,1.8
197411 0 1110 00 2 0,1110,39.966667,-69.766667,144,1974,0
197411 0 1210 00 3 0,1210,42.1,-66.983333,64,1974,0
197411 0 1110 00 3 0,1110,40,-69.566667,126,1974,0
197411 0 1210 00 4 0,1210,42.066667,-67.583333,84,1974,0
197411 0 1120 00 1 0,1120,40.016667,-69.133333,293,1974,0
197411 0 1220 00 1 0,1220,42.083333,-67.883333,201,1974,0
197411 0 1120 00 2 0,1120,39.933333,-69.966667,284,1974,8.6
197411 0 1220 00 2 0,1220,42.116667,-67.633333,176,1974,0
197411 0 1120 00 3 0,1120,39.983333,-70.366667,333,1974,1.8
197411 0 1220 00 3 0,1220,42.183333,-67.416667,238,1974,0
197411 0 1130 00 1 0,1130,40.433333,-68.733333,77,1974,1.8
197411 0 1220 00 4 0,1220,42.2,-67.016667,198,1974,1.8
197411 0 1130 00 2 0,1130,40.766667,-68.8,62,1974,8.2
197411 0 1230 00 1 0,1230,41.366667,-69.3,95,1974,0
197411 0 1130 00 3 0,1130,40.783333,-68.7,62,1974,5
197411 0 1130 00 4 0,1130,40.583333,-68.566667,68,1974,3.2
197411 0 1230 00 2 0,1230,41.233333,-69.183333,90,1974,0
197411 0 1130 00 5 0,1130,40.983333,-67.05,66,1974,0
197411 0 1230 00 3 0,1230,41.233333,-69.15,95,1974,0
197411 0 1130 00 6 0,1130,40.833333,-68.183333,53,1974,0
197411 0 1230 00 4 0,1230,41.266667,-68.833333,99,1974,0
197411 0 1230 00 5 0,1230,41.133333,-69.15,90,1974,0
197411 0 1130 00 7 0,1130,40.85,-67.85,64,1974,0
197411 0 1240 00 1 0,1240,41.75,-69.433333,174,1974,0
197411 0 1130 00 8 0,1130,40.85,-67.133333,82,1974,2.3
197411 0 1240 00 2 0,1240,41.516667,-69.25,148,1974,0
197411 0 1240 00 3 0,1240,41.2,-68.7,198,1974,0
197411 0 1240 00 5 0,1240,41.916667,-68.75,146,1974,0
197411 0 1130 00 9 0,1130,40.65,-68.45,64,1974,0
197411 0 1240 00 6 0,1240,41.783333,-69.15,165,1974,0
197411 0 1250 00 1 0,1250,41.5,-69.5,40,1974,0
197411 0 1250 00 2 0,1250,41.1,-69.316667,49,1974,0.9
197411 0 1140 00 1 0,1140,40.333333,-68.383333,119,1974,0
197411 0 1140 00 2 0,1140,40.466667,-67.95,124,1974,0
197411 0 1250 00 3 0,1250,41.266667,-69.366667,53,1974,0
197411 0 1140 00 3 0,1140,40.333333,-68.033333,161,1974,0
197411 0 1250 00 4 0,1250,41.133333,-69.3,51,1974,0.9
197411 0 1140 00 4 0,1140,40.433333,-68.2,134,1974,0
197411 0 1260 00 1 0,1260,42.216667,-70.433333,66,1974,0
197411 0 1150 00 1 0,1150,40.583333,-67.033333,315,1974,0
197411 0 1260 00 2 0,1260,42.35,-70.366667,88,1974,0
197411 0 1150 00 2 0,1150,40.35,-67.75,274,1974,0.9
197411 0 1260 00 3 0,1260,42.616667,-70.15,88,1974,0
197411 0 1150 00 3 0,1150,40.516667,-67.183333,205,1974,0
197411 0 1260 00 4 0,1260,42.433333,-70.266667,60,1974,0
197411 0 1150 00 4 0,1150,40.433333,-68.116667,366,1974,3.6
197411 0 1260 00 5 0,1260,42.4,-70.5,86,1974,0
197411 0 1270 00 1 0,1270,42.733333,-70.166667,115,1974,0
197411 0 1160 00 1 0,1160,41.15,-66.95,64,1974,0
197411 0 1270 00 2 0,1270,42.7,-70.1,112,1974,0
197411 0 1160 00 10 ,1160,41.983333,-66.583333,70,1974,0
197411 0 1270 00 3 0,1270,42.983333,-70.116667,137,1974,0
197411 0 1160 00 11 ,1160,41.95,-66.133333,91,1974,0
197411 0 1270 00 4 0,1270,42.883333,-70,183,1974,0
197411 0 1160 00 12 ,1160,41.683333,-66.033333,91,1974,0
197411 0 1280 00 1 0,1280,42.216667,-69.683333,234,1974,0
197411 0 1160 00 2 0,1160,41.666667,-66.916667,58,1974,2.3
197411 0 1400 00 3 0,1400,43.2,-70.3,70,1974,0
197411 0 1280 00 2 0,1280,42.3,-69.633333,249,1974,0
197411 0 1160 00 3 0,1160,41.05,-66.766667,71,1974,0
197411 0 1610 00 1 0,1610,36.45,-75.1,38,1974,0
197411 0 1280 00 3 0,1280,42.4,-69.666667,260,1974,0
197411 0 1160 00 4 0,1160,41.65,-66.75,75,1974,0
197411 0 1610 00 2 0,1610,36.316667,-74.983333,40,1974,0
197411 0 1280 00 4 0,1280,41.85,-69.216667,201,1974,0
197411 0 1160 00 5 0,1160,41.733333,-66.716667,55,1974,3.6
197411 0 1610 00 3 0,1610,35.566667,-75.166667,30,1974,0
197411 0 1280 00 5 0,1280,42.55,-69.25,227,1974,0
197411 0 1160 00 6 0,1160,41.666667,-66.716667,68,1974,8.6
197411 0 1610 00 4 0,1610,36.166667,-75.333333,33,1974,0
197411 0 1160 00 7 0,1160,41.583333,-66.65,77,1974,14.1
197411 0 1280 00 6 0,1280,42.383333,-68.783333,201,1974,0
197411 0 1620 00 1 0,1620,36.05,-74.816667,90,1974,0
197411 0 1160 00 8 0,1160,41.45,-66.433333,95,1974,0
197411 0 1280 00 7 0,1280,42.466667,-68.633333,194,1974,0
197411 0 1620 00 2 0,1620,35.683333,-74.933333,58,1974,0
197411 0 1160 00 9 0,1160,41.5,-66.25,91,1974,0
197411 0 1630 00 1 0,1630,36.233333,-74.816667,126,1974,0
197411 0 1280 00 8 0,1280,43.016667,-69.8,179,1974,0
197411 0 1170 00 1 0,1170,40.866667,-66.666667,165,1974,0
197411 0 1290 00 1 0,1290,42.383333,-66.416667,274,1974,0
197411 0 1630 00 2 0,1630,35.85,-74.85,157,1974,0
197411 0 1170 00 2 0,1170,41.5,-65.983333,154,1974,0
197411 0 1290 00 2 0,1290,42.016667,-68.133333,227,1974,0
197411 0 1650 00 1 0,1650,37.55,-74.7,52,1974,0
197411 0 1170 00 3 0,1170,41.716667,-65.8,150,1974,0
197411 0 1290 00 3 0,1290,42.533333,-67.933333,227,1974,0
197411 0 1650 00 2 0,1650,37.7,-74.85,31,1974,0
197411 0 1170 00 4 0,1170,41.633333,-65.933333,214,1974,0
197411 0 1180 00 1 0,1180,41.883333,-65.766667,238,1974,0
197411 0 1650 00 3 0,1650,37.383333,-75.033333,33,1974,0
197411 0 1290 00 4 0,1290,42.55,-67.816667,230,1974,0
197411 0 1180 00 2 0,1180,41.4,-66,274,1974,0
197411 0 1650 00 4 0,1650,37.233333,-74.9,44,1974,0
197411 0 1290 00 5 0,1290,42.516667,-67.716667,220,1974,0
197411 0 1180 00 3 0,1180,40.916667,-66.55,395,1974,0
197411 0 1650 00 5 0,1650,36.633333,-75.333333,24,1974,0
197411 0 1190 00 1 0,1190,40.783333,-68.533333,48,1974,0
197411 0 1650 00 6 0,1650,36.75,-75.616667,20,1974,0
197411 0 1290 00 6 0,1290,42.6,-67.333333,289,1974,0
197411 0 1190 00 2 0,1190,40.883333,-68.45,42,1974,0
197411 0 1650 00 7 0,1650,36.933333,-75.583333,22,1974,0
197411 0 1290 00 7 0,1290,42.25,-66.966667,247,1974,0
197411 0 1290 00 8 0,1290,42.55,-68.15,174,1974,0
197411 0 1190 00 3 0,1190,41.266667,-68.833333,48,1974,3.2
197411 0 1650 00 8 0,1650,36.933333,-75.183333,37,1974,0
197411 0 1300 00 1 0,1300,42.533333,-67.133333,311,1974,1.4
197411 0 1660 00 1 0,1660,37.6,-74.483333,68,1974,0
197411 0 1660 00 2 0,1660,37.516667,-74.45,93,1974,0
197411 0 1300 00 2 0,1300,42.416667,-66.866667,338,1974,0
197411 0 1660 00 3 0,1660,37.133333,-74.833333,62,1974,0
197411 0 1300 00 3 0,1300,42.383333,-66.716667,366,1974,0
197411 0 1670 00 1 0,1670,37.1,-74.566667,183,1974,0.9
197411 0 1340 00 1 0,1340,43.75,-67.2,165,1974,0.9
197411 0 1670 00 2 0,1670,36.683333,-74.7,183,1974,1.4
197411 0 1340 00 2 0,1340,43.883333,-67,154,1974,1.8
197411 0 1690 00 1 0,1690,38.483333,-74.75,24,1974,0
197411 0 1690 00 2 0,1690,38.566667,-74.616667,28,1974,0.5
197411 0 1340 00 3 0,1340,43.333333,-66.7,113,1974,1.4
197411 0 1690 00 3 0,1690,38.333333,-74.35,42,1974,0
197411 0 1340 00 4 0,1340,43.2,-66.616667,132,1974,1.4
197411 0 1690 00 4 0,1690,38.566667,-74.366667,41,1974,0
197411 0 1340 00 5 0,1340,43.133333,-66.666667,128,1974,3.6
197411 0 1690 00 5 0,1690,38.616667,-74.05,52,1974,0
197411 0 1340 00 6 0,1340,43.55,-66.816667,165,1974,2.7
197411 0 1700 00 1 0,1700,38.383333,-73.7,99,1974,0
197411 0 1360 00 1 0,1360,42.8,-68.15,183,1974,0
197411 0 1700 00 2 0,1700,38.3,-74.15,62,1974,0
197411 0 1360 00 10 ,1360,43.633333,-67.433333,220,1974,0
197411 0 1360 00 2 0,1360,43.366667,-68.166667,208,1974,0
197411 0 1700 00 3 0,1700,38.116667,-74.05,77,1974,0
197411 0 1360 00 3 0,1360,43.45,-68.133333,188,1974,0
197411 0 1700 00 4 0,1700,37.983333,-74.116667,99,1974,0
197411 0 1360 00 4 0,1360,43.216667,-67.616667,216,1974,0
197411 0 1710 00 1 0,1710,38.033333,-73.883333,132,1974,0
197411 0 1360 00 5 0,1360,43.583333,-67.733333,229,1974,0
197411 0 1710 00 2 0,1710,37.933333,-74.016667,137,1974,0
197411 0 1360 00 6 0,1360,43.883333,-67.733333,205,1974,0.9
197411 0 1730 00 1 0,1730,39.333333,-73.316667,50,1974,0
197411 0 1730 00 2 0,1730,38.966667,-73.633333,55,1974,0
197411 0 1360 00 7 0,1360,42.9,-67.116667,238,1974,0
197411 0 1730 00 3 0,1730,39.033333,-74.15,31,1974,0
197411 0 1360 00 8 0,1360,43.333333,-67.166667,229,1974,0
197411 0 1730 00 4 0,1730,39.533333,-73.866667,27,1974,0
197411 0 1360 00 9 0,1360,43.333333,-67.083333,198,1974,0
197411 0 1730 00 5 0,1730,39.683333,-73.533333,39,1974,0
197411 0 1370 00 1 0,1370,43.216667,-69.116667,183,1974,0
197411 0 1740 00 1 0,1740,39.233333,-72.85,81,1974,0
197411 0 1370 00 2 0,1370,42.633333,-68.866667,165,1974,0
197411 0 1740 00 2 0,1740,39.183333,-73.05,75,1974,0
197411 0 1370 00 3 0,1370,42.716667,-68.7,188,1974,0
197411 0 1740 00 3 0,1740,39,-73,86,1974,0
197411 0 1740 00 4 0,1740,38.6,-73.433333,82,1974,0
197411 0 1370 00 4 0,1370,42.866667,-68.633333,198,1974,0
197411 0 1750 00 1 0,1750,39.083333,-72.8,113,1974,0
197411 0 1370 00 5 0,1370,43,-68.616667,183,1974,0
197411 0 1750 00 2 0,1750,38.933333,-72.866667,123,1974,0
197411 0 1370 00 6 0,1370,42.916667,-69.383333,155,1974,0
197411 0 1760 00 1 0,1760,38.983333,-72.8,311,1974,3.2
197411 0 1380 00 1 0,1380,43.366667,-69.633333,190,1974,1.4
197411 0 1760 00 2 0,1760,38.566667,-73.183333,397,1974,1.4
197411 0 1380 00 2 0,1380,43.5,-69.416667,132,1974,0
197411 0 3020 00 1 0,3020,40.966667,-71.916667,24,1974,0
197411 0 1380 00 3 0,1380,43.966667,-68.016667,170,1974,0
197411 0 3020 00 2 0,3020,41.1,-71.6,22,1974,0
197411 0 1380 00 4 0,1380,43.533333,-68.8,132,1974,2.7
197411 0 3050 00 1 0,3050,40.816667,-72.383333,22,1974,0
197411 0 1380 00 5 0,1380,43.833333,-68.133333,194,1974,0
197411 0 3050 00 2 0,3050,40.916667,-72.083333,26,1974,0
197411 0 3080 00 1 0,3080,40.766667,-72.55,24,1974,0
197411 0 1390 00 1 0,1390,43.883333,-68.383333,113,1974,0.9
197411 0 3080 00 2 0,3080,40.683333,-72.85,21,1974,0
197411 0 1390 00 2 0,1390,43.933333,-68.4,91,1974,0
197411 0 3080 00 3 0,3080,40.6,-73.05,20,1974,0
197411 0 3080 00 4 0,3080,40.683333,-72.85,23,1974,0
197411 0 1390 00 3 0,1390,44.183333,-68.05,64,1974,2.3
197411 0 3110 00 1 0,3110,40.483333,-73.633333,18,1974,0
197411 0 1390 00 4 0,1390,44.05,-68.3,58,1974,4.1
197411 0 3110 00 2 0,3110,40.533333,-73.283333,22,1974,0
197411 0 1390 00 5 0,1390,43.983333,-68.45,82,1974,3.2
197411 0 3110 00 3 0,3110,40.433333,-73.616667,21,1974,0
197411 0 1400 00 1 0,1400,43.466667,-70.016667,91,1974,0
197411 0 3140 00 1 0,3140,40.433333,-73.716667,27,1974,0
197411 0 1400 00 2 0,1400,43.333333,-70.133333,90,1974,2.3
197411 0 3140 00 2 0,3140,40.4,-73.783333,31,1974,0
197411 0 3140 00 3 0,3140,40.316667,-73.85,22,1974,0.5
197411 0 3140 00 4 0,3140,40.3,-73.833333,23,1974,2.7
197411 0 3170 00 1 0,3170,39.95,-73.966667,20,1974,0
197411 0 3170 00 2 0,3170,39.816667,-73.966667,18,1974,0
197411 0 3170 00 3 0,3170,39.683333,-73.916667,23,1974,0
197411 0 3200 00 1 0,3200,39.6,-73.916667,25,1974,0
197411 0 3200 00 2 0,3200,39.516667,-73.966667,22,1974,0
197411 0 3200 00 3 0,3200,39.383333,-74.066667,20,1974,0
197411 0 3200 00 4 0,3200,39.183333,-74.283333,22,1974,0
197411 0 3230 00 1 0,3230,38.85,-74.566667,20,1974,0
197411 0 3230 00 2 0,3230,39.116667,-74.433333,20,1974,0
197411 0 3260 00 1 0,3260,38.7,-74.883333,18,1974,0
197411 0 3260 00 2 0,3260,38.75,-74.75,13,1974,0
197411 0 3290 00 1 0,3290,38.166667,-74.9,22,1974,0
197411 0 3290 00 2 0,3290,38.366667,-74.816667,24,1974,0
197411 0 3290 00 3 0,3290,38.45,-74.85,18,1974,0
197411 0 3320 00 1 0,3320,37.733333,-75.166667,22,1974,0
197411 0 3320 00 2 0,3320,37.933333,-75.066667,24,1974,0
197411 0 3350 00 1 0,3350,37.283333,-75.483333,22,1974,0
197411 0 3350 00 2 0,3350,37.466667,-75.383333,20,1974,0
197411 0 3380 00 1 0,3380,36.55,-75.683333,22,1974,0
197411 0 3380 00 2 0,3380,36.633333,-75.666667,15,1974,0
197411 0 3380 00 3 0,3380,36.85,-75.666667,22,1974,0
197411 0 3380 00 4 0,3380,37.066667,-75.616667,15,1974,0
197411 0 3410 00 1 0,3410,35.983333,-75.366667,22,1974,0
197411 0 3410 00 2 0,3410,36.133333,-75.516667,24,1974,0
197411 0 3410 00 3 0,3410,36.333333,-75.633333,22,1974,0
197411 0 3410 00 4 0,3410,36.383333,-75.6,26,1974,0
197411 0 3440 00 1 0,3440,35.466667,-75.233333,26,1974,0
197411 0 3440 00 2 0,3440,35.333333,-75.283333,22,1974,0
197411 0 3440 00 3 0,3440,35.633333,-75.35,26,1974,0
197411 0 3440 00 4 0,3440,35.716667,-75.25,29,1974,0
197512 0 1010 00 7 0,1010,39.8,-73.166667,46,1975,0.9
197512 0 1010 00 8 0,1010,40.133333,-73.55,35,1975,0.5
197512 0 1020 00 1 0,1020,40.25,-72.516667,54,1975,0
197512 0 1020 00 2 0,1020,39.966667,-72.4,68,1975,0.5
197512 0 1020 00 3 0,1020,39.883333,-72.316667,81,1975,1.4
197512 0 1020 00 4 0,1020,39.35,-72.9,68,1975,0
197512 0 1020 00 5 0,1020,39.633333,-72.733333,68,1975,1.4
197512 0 1020 00 6 0,1020,39.583333,-73.033333,59,1975,0
197512 0 1020 00 7 0,1020,39.883333,-73.066667,69,1975,1.4
197512 0 1030 00 1 0,1030,39.766667,-72.033333,132,1975,0.5
197512 0 1030 00 2 0,1030,39.55,-72.25,134,1975,0
197512 0 1030 00 3 0,1030,39.333333,-72.616667,124,1975,0
197512 0 1040 00 1 0,1040,39.8,-71.816667,186,1975,8.6
197512 0 1040 00 2 0,1040,39.283333,-72.316667,260,1975,3.2
197512 0 1050 00 1 0,1050,40.833333,-72.183333,35,1975,0
197512 0 1050 00 2 0,1050,40.633333,-72.216667,47,1975,0
197512 0 1050 00 3 0,1050,40.7,-71.983333,44,1975,0.5
197512 0 1050 00 4 0,1050,41.333333,-71.3,29,1975,0
197512 0 1050 00 5 0,1050,40.95,-70.95,51,1975,9.1
197512 0 1050 00 6 0,1050,40.916667,-71.133333,50,1975,2.7
197512 0 1060 00 1 0,1060,40.716667,-71.2,49,1975,0.9
197512 0 1060 00 2 0,1060,40.716667,-71.4,60,1975,0
197512 0 1060 00 3 0,1060,40.483333,-71.233333,73,1975,0
197512 0 1060 00 4 0,1060,40.516667,-71.75,73,1975,0.5
197512 0 1060 00 5 0,1060,40.3,-70.85,112,1975,0
197512 0 1060 00 6 0,1060,40.266667,-71.416667,85,1975,0
197512 0 1060 00 7 0,1060,40.266667,-71.733333,77,1975,0.5
197512 0 1060 00 8 0,1060,40.416667,-71.95,66,1975,0
197512 0 1060 00 9 0,1060,40.083333,-71.85,82,1975,0
197512 0 1070 00 1 0,1070,40.2,-70.816667,124,1975,0
197512 0 1070 00 2 0,1070,40.083333,-70.566667,124,1975,0
197512 0 1070 00 3 0,1070,40.05,-71.283333,155,1975,0.9
197512 0 1080 00 1 0,1080,40,-70.9,296,1975,5.4
197512 0 1190 00 9 0,1190,41.8,-67.266667,52,1975,0
197512 0 1080 00 2 0,1080,39.95,-71.4,240,1975,0.9
197512 0 1200 00 1 0,1200,41.483333,-68.166667,43,1975,0
197512 0 1090 00 1 0,1090,40.833333,-70.383333,50,1975,1.4
197512 0 1200 00 2 0,1200,41.65,-68.316667,45,1975,0
197512 0 1200 00 3 0,1200,41.983333,-67.566667,46,1975,0
197512 0 1090 00 2 0,1090,40.85,-69.283333,51,1975,1.8
197512 0 1200 00 4 0,1200,41.733333,-68.116667,33,1975,8.6
197512 0 1090 00 3 0,1090,40.966667,-70.416667,45,1975,0
197512 0 1200 00 5 0,1200,41.3,-68.383333,55,1975,6.4
197512 0 1200 00 6 0,1200,42.083333,-67.35,50,1975,0
197512 0 1090 00 4 0,1090,40.733333,-69.666667,45,1975,1.8
197512 0 1210 00 1 0,1210,42.033333,-67.666667,92,1975,0
197512 0 1090 00 5 0,1090,40.65,-69.283333,48,1975,0.5
197512 0 1100 00 1 0,1100,40.25,-69.116667,99,1975,0.9
197512 0 1100 00 2 0,1100,40.166667,-69.583333,90,1975,0
197512 0 1100 00 3 0,1100,40.316667,-68.85,97,1975,0.5
197512 0 1210 00 2 0,1210,42.133333,-67.066667,68,1975,0
197512 0 1100 00 4 0,1100,40.433333,-69.083333,78,1975,12.2
197512 0 1210 00 3 0,1210,42.133333,-66.866667,68,1975,0
197512 0 1100 00 5 0,1100,40.316667,-69.15,92,1975,2.3
197512 0 1210 00 4 0,1210,41.866667,-68,62,1975,0
197512 0 1100 00 6 0,1100,40.466667,-69.416667,65,1975,1.8
197512 0 1220 00 1 0,1220,42.15,-66.216667,175,1975,1.8
197512 0 1100 00 7 0,1100,40.683333,-70.516667,62,1975,0
197512 0 1220 00 2 0,1220,42.183333,-67.233333,175,1975,0
197512 0 1100 00 8 0,1100,40.1,-69.633333,100,1975,0
197512 0 1220 00 3 0,1220,42.15,-67.683333,185,1975,0
197512 0 1100 00 9 0,1100,40.433333,-70.35,71,1975,0.5
197512 0 1220 00 4 0,1220,42.033333,-67.966667,190,1975,0
197512 0 1110 00 1 0,1110,40.183333,-69.016667,132,1975,0
197512 0 1230 00 1 0,1230,41.283333,-69.133333,99,1975,0
197512 0 1110 00 2 0,1110,40.1,-69.966667,123,1975,0
197512 0 1230 00 2 0,1230,41.483333,-68.466667,77,1975,0
197512 0 1110 00 3 0,1110,40.016667,-69.3,112,1975,3.6
197512 0 1230 00 3 0,1230,41.383333,-68.683333,96,1975,0
197512 0 1120 00 1 0,1120,40,-70.35,293,1975,3.2
197512 0 1230 00 4 0,1230,41.033333,-68.85,65,1975,0
197512 0 1120 00 2 0,1120,39.95,-70.066667,279,1975,0.5
197512 0 1010 00 1 0,1010,40.25,-73.333333,37,1975,0
197512 0 1230 00 5 0,1230,41.366667,-69.316667,84,1975,0
197512 0 1120 00 3 0,1120,39.916667,-69.766667,339,1975,3.6
197512 0 1010 00 2 0,1010,40.016667,-73.066667,46,1975,0
197512 0 1240 00 1 0,1240,41.783333,-69.133333,164,1975,0
197512 0 1130 00 1 0,1130,40.783333,-67.983333,70,1975,0.9
197512 0 1010 00 3 0,1010,40.1,-72.716667,52,1975,0
197512 0 1240 00 2 0,1240,41.45,-68.85,146,1975,0
197512 0 1010 00 4 0,1010,40.366667,-73.016667,38,1975,1.8
197512 0 1130 00 2 0,1130,40.683333,-68.016667,83,1975,0
197512 0 1240 00 3 0,1240,41.633333,-68.766667,145,1975,0
197512 0 1130 00 3 0,1130,40.6,-68.683333,60,1975,0.9
197512 0 1010 00 5 0,1010,40.6,-72.65,35,1975,0
197512 0 1010 00 6 0,1010,39.716667,-73.116667,46,1975,0.9
197512 0 1130 00 4 0,1130,40.766667,-67.733333,66,1975,0
197512 0 1130 00 5 0,1130,40.75,-67.416667,90,1975,0
197512 0 1130 00 6 0,1130,40.816667,-67.133333,88,1975,0
197512 0 1130 00 7 0,1130,40.5,-68.266667,101,1975,0
197512 0 1130 00 8 0,1130,40.6,-68.183333,91,1975,0
197512 0 1130 00 9 0,1130,40.75,-68.15,67,1975,3.6
197512 0 1140 00 1 0,1140,40.466667,-67.566667,142,1975,0
197512 0 1140 00 2 0,1140,40.316667,-68.283333,151,1975,2.3
197512 0 1140 00 3 0,1140,40.583333,-67.2,129,1975,0
197512 0 1140 00 4 0,1140,40.45,-67.633333,150,1975,0
197512 0 1240 00 4 0,1240,41.466667,-69.216667,150,1975,0
197512 0 1150 00 1 0,1150,40.083333,-68.7,368,1975,0
197512 0 1150 00 2 0,1150,40.7,-66.816667,238,1975,0
197512 0 1240 00 5 0,1240,41.683333,-69.2,176,1975,0
197512 0 1240 00 6 0,1240,42.2,-68.5,154,1975,0
197512 0 1150 00 3 0,1150,40.483333,-67.283333,226,1975,1.8
197512 0 1240 00 7 0,1240,42.1,-68.95,125,1975,0
197512 0 1160 00 1 0,1160,40.95,-66.883333,70,1975,0
197512 0 1250 00 1 0,1250,41.416667,-69.366667,57,1975,0
197512 0 1160 00 10 ,1160,41.7,-66.033333,95,1975,0
197512 0 1250 00 2 0,1250,41.383333,-69.416667,53,1975,0
197512 0 1160 00 11 ,1160,41.8,-66.416667,81,1975,1.4
197512 0 1390 00 2 0,1390,43.866667,-68.583333,72,1975,0
197512 0 1250 00 3 0,1250,41.1,-69.216667,46,1975,0
197512 0 1160 00 2 0,1160,41.233333,-66.816667,70,1975,0
197512 0 1390 00 3 0,1390,43.866667,-68.45,135,1975,0.9
197512 0 1250 00 4 0,1250,41.216667,-69.366667,52,1975,0
197512 0 1160 00 3 0,1160,41.433333,-66.783333,72,1975,10
